Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,9/30/2022,1162,N37290,EWR,20:00,19:47,74,118,-13,20:28,41,0,0,31,0,0
UA,9/30/2022,1565,N873UA,IAD,6:00,5:51,77,73,-9,6:03,12,0,0,0,0,0
UA,9/30/2022,1646,N819UA,DEN,16:04,15:57,238,284,-7,16:10,13,0,0,39,0,0
UA,9/30/2022,2649,N822UA,ORD,17:50,17:47,125,130,-3,18:04,17,0,0,0,0,0
UA,9/30/2022,2661,N33714,ORD,6:40,6:31,130,144,-9,7:05,34,0,0,0,0,0
UA,10/1/2019,1658,N15712,ORD,15:45,15:33,140,113,-12,15:41,8,0,0,0,0,0
UA,10/1/2019,2391,N67812,ORD,7:30,7:29,142,114,-1,7:39,10,0,0,0,0,0
UA,10/1/2021,2065,N13750,IAD,8:00,7:51,82,62,-9,8:00,9,0,0,0,0,0
UA,10/1/2021,2080,N4888U,ORD,6:45,6:56,137,124,11,7:10,14,0,0,0,0,0
UA,10/1/2022,1565,N873UA,IAD,6:00,5:54,77,83,-6,6:06,12,0,0,0,0,0
UA,10/1/2022,1646,N843UA,DEN,16:04,16:15,238,281,11,17:07,52,11,0,43,0,0
UA,10/1/2022,2649,N899UA,ORD,17:50,17:49,125,121,-1,17:59,10,0,0,0,0,0
UA,10/1/2022,2661,N849UA,ORD,6:45,6:42,130,128,-3,7:01,19,0,0,0,0,0
UA,10/2/2019,1658,N54711,ORD,15:45,16:02,140,139,17,16:24,22,0,0,16,0,0
UA,10/2/2019,2391,N62895,ORD,7:30,7:21,142,140,-9,7:41,20,0,0,0,0,0
UA,10/2/2021,2065,N38727,IAD,8:00,7:57,82,62,-3,8:09,12,0,0,0,0,0
UA,10/2/2021,2080,N889UA,ORD,6:45,6:34,137,115,-11,6:48,14,0,0,0,0,0
UA,10/2/2022,1565,N854UA,IAD,6:00,5:59,77,76,-1,6:12,13,0,0,0,0,0
UA,10/2/2022,1646,N402UA,DEN,16:04,15:56,238,216,-8,16:11,15,0,0,0,0,0
UA,10/2/2022,2649,N882UA,ORD,17:45,17:39,125,128,-6,17:51,12,0,0,0,0,0
UA,10/2/2022,2661,N834UA,ORD,6:45,6:48,130,140,3,7:14,26,0,0,0,0,0
UA,10/3/2019,1658,N24706,ORD,15:45,15:33,140,129,-12,15:50,17,0,0,0,0,0
UA,10/3/2019,2391,N36247,ORD,7:30,7:18,142,122,-12,7:32,14,0,0,0,0,0
UA,10/3/2021,2065,N17752,IAD,8:00,7:59,82,70,-1,8:12,13,0,0,0,0,0
UA,10/3/2021,2080,N851UA,ORD,6:45,6:43,137,122,-2,6:55,12,0,0,0,0,0
UA,10/3/2022,1565,N854UA,IAD,6:00,5:59,77,73,-1,6:12,13,0,0,0,0,0
UA,10/3/2022,1646,N849UA,DEN,16:04,16:04,238,226,0,16:15,11,0,0,0,0,0
UA,10/3/2022,2649,N833UA,ORD,17:45,17:38,125,122,-7,17:49,11,0,0,0,0,0
UA,10/3/2022,2661,N822UA,ORD,6:45,6:33,130,131,-12,6:54,21,0,0,0,0,0
UA,10/4/2019,1658,N891UA,ORD,15:45,15:42,140,124,-3,15:52,10,0,0,0,0,0
UA,10/4/2019,2391,N62849,ORD,7:30,7:19,142,127,-11,7:31,12,0,0,0,0,0
UA,10/4/2021,2065,N17719,IAD,8:00,8:08,82,69,8,8:18,10,0,0,0,0,0
UA,10/4/2021,2080,N852UA,ORD,6:45,6:47,137,126,2,7:04,17,0,0,0,0,0
UA,10/4/2022,1565,N830UA,IAD,6:00,5:58,77,76,-2,6:14,16,0,0,0,0,0
UA,10/4/2022,1646,N875UA,DEN,16:04,16:14,238,210,10,16:24,10,0,0,0,0,0
UA,10/4/2022,2649,N825UA,ORD,17:45,17:59,125,108,14,18:08,9,0,0,0,0,0
UA,10/4/2022,2661,N4888U,ORD,6:45,6:39,130,121,-6,7:01,22,0,0,0,0,0
UA,10/5/2019,716,N77538,ORD,7:30,7:20,142,142,-10,7:48,28,0,0,0,0,0
UA,10/5/2021,1835,N38454,IAD,6:00,8:56,76,70,176,9:08,12,170,0,0,0,0
UA,10/5/2021,2267,N460UA,ORD,6:55,6:54,135,123,-1,7:09,15,0,0,0,0,0
UA,10/5/2022,1565,N876UA,IAD,6:00,5:55,77,74,-5,6:11,16,0,0,0,0,0
UA,10/5/2022,1646,N897UA,DEN,16:04,16:01,238,236,-3,16:33,32,0,0,0,0,0
UA,10/5/2022,2649,N873UA,ORD,17:45,17:43,125,113,-2,17:53,10,0,0,0,0,0
UA,10/5/2022,2661,N855UA,ORD,6:45,6:35,130,110,-10,6:46,11,0,0,0,0,0
UA,10/6/2019,2391,N14242,ORD,7:30,7:27,142,119,-3,7:43,16,0,0,0,0,0
UA,10/6/2021,2267,N411UA,ORD,6:55,16:26,135,129,571,16:46,20,565,0,0,0,0
UA,10/6/2022,1565,N832UA,IAD,6:00,6:00,77,72,0,6:12,12,0,0,0,0,0
UA,10/6/2022,1646,N829UA,DEN,16:04,15:58,238,233,-6,16:09,11,0,0,0,0,0
UA,10/6/2022,2649,N849UA,ORD,17:45,17:36,125,130,-9,17:55,19,0,0,0,0,0
UA,10/6/2022,2661,N448UA,ORD,6:45,6:32,130,129,-13,6:56,24,0,0,0,0,0
UA,10/7/2019,2391,N27246,ORD,7:30,7:40,142,156,10,8:26,46,10,0,14,0,0
UA,10/7/2021,2267,N461UA,ORD,6:55,6:55,135,136,0,7:14,19,0,0,0,0,0
UA,10/7/2022,1565,N830UA,IAD,6:00,5:51,77,70,-9,6:02,11,0,0,0,0,0
UA,10/7/2022,1646,N880UA,DEN,16:04,15:59,238,229,-5,16:14,15,0,0,0,0,0
UA,10/7/2022,1822,N69847,EWR,20:03,21:15,74,64,72,21:30,15,62,0,0,0,0
UA,10/7/2022,2649,N809UA,ORD,17:45,17:38,125,125,-7,17:49,11,0,0,0,0,0
UA,10/7/2022,2661,N834UA,ORD,6:45,6:37,130,140,-8,6:58,21,0,0,0,0,0
UA,10/8/2019,2391,N38473,ORD,7:30,7:24,142,119,-6,7:44,20,0,0,0,0,0
UA,10/8/2021,2267,N469UA,ORD,6:55,6:51,135,125,-4,7:08,17,0,0,0,0,0
UA,10/8/2022,1565,N416UA,IAD,6:00,5:58,77,124,-2,7:05,67,0,0,45,0,0
UA,10/8/2022,1646,N850UA,DEN,16:04,16:03,238,233,-1,16:19,16,0,0,0,0,0
UA,10/8/2022,2649,N810UA,ORD,17:45,17:44,125,114,-1,17:53,9,0,0,0,0,0
UA,10/8/2022,2661,N811UA,ORD,6:45,6:42,130,126,-3,7:04,22,0,0,0,0,0
UA,10/9/2019,2391,N77258,ORD,7:30,7:19,142,116,-11,7:29,10,0,0,0,0,0
UA,10/9/2021,1835,N14704,IAD,6:00,5:58,76,72,-2,6:14,16,0,0,0,0,0
UA,10/9/2021,2267,N427UA,ORD,6:55,6:54,135,121,-1,7:05,11,0,0,0,0,0
UA,10/9/2022,1565,N475UA,IAD,6:00,9:51,77,69,231,10:02,11,0,0,0,0,223
UA,10/9/2022,1646,N820UA,DEN,16:04,16:05,238,221,1,16:20,15,0,0,0,0,0
UA,10/9/2022,2649,N872UA,ORD,17:45,17:47,125,123,2,18:05,18,0,0,0,0,0
UA,10/9/2022,2661,N876UA,ORD,6:45,6:41,130,123,-4,7:03,22,0,0,0,0,0
UA,10/10/2019,2391,N73299,ORD,7:30,7:29,142,147,-1,8:02,33,0,0,0,0,0
UA,10/10/2021,1835,N27722,IAD,6:00,5:59,76,72,-1,6:11,12,0,0,0,0,0
UA,10/10/2021,2267,N460UA,ORD,6:55,6:51,135,118,-4,7:06,15,0,0,0,0,0
UA,10/10/2022,1565,N427UA,IAD,6:00,5:50,77,78,-10,6:06,16,0,0,0,0,0
UA,10/10/2022,1646,N423UA,DEN,16:04,15:53,238,220,-11,16:03,10,0,0,0,0,0
UA,10/10/2022,2649,N806UA,ORD,17:45,18:07,125,125,22,18:19,12,11,0,0,0,11
UA,10/10/2022,2661,N822UA,ORD,6:45,6:43,130,114,-2,6:55,12,0,0,0,0,0
UA,10/11/2019,2391,N33264,ORD,7:30,7:28,142,127,-2,7:51,23,0,0,0,0,0
UA,10/11/2021,1835,N23707,IAD,6:00,5:58,76,73,-2,6:11,13,0,0,0,0,0
UA,10/11/2021,2267,N443UA,ORD,6:55,7:03,135,115,8,7:16,13,0,0,0,0,0
UA,10/11/2022,1565,N475UA,IAD,6:00,6:10,77,68,10,6:24,14,0,0,0,0,0
UA,10/11/2022,1646,N882UA,DEN,16:04,15:57,238,230,-7,16:13,16,0,0,0,0,0
UA,10/11/2022,2649,N899UA,ORD,17:45,17:36,125,129,-9,17:52,16,0,0,0,0,0
UA,10/11/2022,2661,N872UA,ORD,6:45,6:44,130,112,-1,7:00,16,0,0,0,0,0
UA,10/12/2019,716,N39297,ORD,7:30,7:24,142,118,-6,7:36,12,0,0,0,0,0
UA,10/12/2021,2267,N465UA,ORD,6:55,7:01,135,122,6,7:16,15,0,0,0,0,0
UA,10/12/2022,1565,N465UA,IAD,6:00,5:52,77,70,-8,6:06,14,0,0,0,0,0
UA,10/12/2022,1646,N897UA,DEN,16:04,15:55,238,237,-9,16:06,11,0,0,0,0,0
UA,10/12/2022,2649,N891UA,ORD,17:45,17:41,125,113,-4,17:52,11,0,0,0,0,0
UA,10/12/2022,2661,N889UA,ORD,6:45,6:40,130,127,-5,6:49,9,0,0,0,0,0
UA,10/13/2019,2391,N25201,ORD,7:30,7:25,142,118,-5,7:37,12,0,0,0,0,0
UA,10/13/2021,2267,N422UA,ORD,6:55,7:09,135,132,14,7:33,24,0,0,0,0,0
UA,10/13/2022,1565,N465UA,IAD,6:00,5:52,77,73,-8,6:03,11,0,0,0,0,0
UA,10/13/2022,1646,N889UA,DEN,16:04,16:01,238,241,-3,16:12,11,0,0,0,0,0
UA,10/13/2022,2649,N850UA,ORD,17:45,17:44,125,116,-1,17:58,14,0,0,0,0,0
UA,10/13/2022,2661,N815UA,ORD,6:45,6:41,130,126,-4,6:56,15,0,0,0,0,0
UA,10/14/2019,2391,N76529,ORD,7:30,7:27,142,129,-3,7:47,20,0,0,0,0,0
UA,10/14/2021,2267,N405UA,ORD,6:55,6:50,135,118,-5,7:01,11,0,0,0,0,0
UA,10/14/2021,2420,N45440,IAD,19:55,19:42,82,75,-13,20:00,18,0,0,0,0,0
UA,10/14/2022,1565,N449UA,IAD,6:00,5:55,77,90,-5,6:13,18,0,0,0,0,0
UA,10/14/2022,1646,N842UA,DEN,16:04,15:52,238,232,-12,16:05,13,0,0,0,0,0
UA,10/14/2022,1822,N66841,EWR,20:03,19:43,74,76,-20,19:56,13,0,0,0,0,0
UA,10/14/2022,2649,N848UA,ORD,17:45,17:40,125,117,-5,17:49,9,0,0,0,0,0
UA,10/14/2022,2661,N891UA,ORD,6:45,6:37,130,113,-8,6:45,8,0,0,0,0,0
UA,10/15/2019,2391,N39297,ORD,7:30,7:30,142,118,0,7:44,14,0,0,0,0,0
UA,10/15/2021,2359,N34455,EWR,6:45,6:36,74,63,-9,6:51,15,0,0,0,0,0
UA,10/15/2022,1565,N805UA,IAD,6:00,5:56,77,73,-4,6:08,12,0,0,0,0,0
UA,10/15/2022,1646,N494UA,DEN,16:04,15:58,238,237,-6,16:09,11,0,0,0,0,0
UA,10/15/2022,2649,N4888U,ORD,17:45,17:40,125,124,-5,17:57,17,0,0,0,0,0
UA,10/15/2022,2661,N895UA,ORD,6:45,6:34,130,122,-11,6:46,12,0,0,0,0,0
UA,10/16/2019,2391,N78501,ORD,7:30,7:24,142,117,-6,7:34,10,0,0,0,0,0
UA,10/16/2021,1835,N27734,IAD,6:00,6:00,76,71,0,6:11,11,0,0,0,0,0
UA,10/16/2021,2359,N38479,EWR,6:45,7:14,74,59,29,7:27,13,0,0,0,0,0
UA,10/16/2022,1565,N805UA,IAD,6:00,6:04,77,79,4,6:18,14,0,0,0,0,0
UA,10/16/2022,1646,N822UA,DEN,16:04,16:04,238,238,0,16:16,12,0,0,0,0,0
UA,10/16/2022,2649,N832UA,ORD,17:45,17:38,125,123,-7,17:59,21,0,0,0,0,0
UA,10/16/2022,2661,N896UA,ORD,6:45,6:51,130,124,6,7:07,16,0,0,0,0,0
UA,10/17/2019,2391,N77261,ORD,7:30,7:28,142,102,-2,7:40,12,0,0,0,0,0
UA,10/17/2021,1835,N23708,IAD,6:00,5:56,76,66,-4,6:05,9,0,0,0,0,0
UA,10/17/2021,2267,N407UA,ORD,6:55,6:54,135,129,-1,7:04,10,0,0,0,0,0
UA,10/17/2022,1565,N811UA,IAD,6:00,5:55,77,89,-5,6:21,26,0,0,0,0,0
UA,10/17/2022,1646,N820UA,DEN,16:04,16:00,238,228,-4,16:22,22,0,0,0,0,0
UA,10/17/2022,2649,N815UA,ORD,17:45,17:58,125,114,13,18:10,12,0,0,0,0,0
UA,10/17/2022,2661,N808UA,ORD,6:45,6:52,130,131,7,7:13,21,0,0,0,0,0
UA,10/18/2019,2391,N35260,ORD,7:30,7:24,142,116,-6,7:34,10,0,0,0,0,0
UA,10/18/2021,1835,N15710,IAD,6:00,5:57,76,62,-3,6:07,10,0,0,0,0,0
UA,10/18/2021,2267,N4901U,ORD,6:55,7:13,135,118,18,7:29,16,0,0,0,0,0
UA,10/18/2022,1565,N462UA,IAD,6:00,5:55,77,77,-5,6:08,13,0,0,0,0,0
UA,10/18/2022,1646,N844UA,DEN,16:04,16:04,238,207,0,16:16,12,0,0,0,0,0
UA,10/18/2022,2649,N829UA,ORD,17:45,17:39,125,131,-6,18:05,26,0,0,0,0,0
UA,10/18/2022,2661,N823UA,ORD,6:45,6:43,130,117,-2,6:55,12,0,0,0,0,0
UA,10/19/2019,716,N13227,ORD,7:30,7:28,142,124,-2,7:51,23,0,0,0,0,0
